"product_id","recommendations"
"38748-roze","{27913,16862,26946,27914}"
"3875","{38815,29486,1932,7188}"
"38783",{23301}
"38784","{26758,4123,42678}"
"3879","{38815,25960,20742,20743}"
"3880","{25124,25125,25960,16346}"
"38813","{42453,40577,39407,42460}"
"38814","{29286,24859,26781,30928}"
"38815","{32032,25960,4107,31654}"
"38816","{38367,28618,16791,42058}"
"38817","{21174,21762,23301,1735}"
"38818","{16862,20040,20269,21210}"
"38819","{29289,27961,25997,2332}"
"38820","{20438,21368,26291,31988}"
"38821","{21177,16617,29896-blauw,29898-blauw}"
"38822","{30928,22320,41745,16862}"
"38822-4pack",{}
"38823-blauw","{1475,163749,1932,1380}"
"38823-geel","{163749,22433,23349,1475}"
"38823-groen","{29286,31705,32032,26530-geel}"
"38823-rood","{1932,20171,20561,1475}"
"38824-blauw","{38815,20422,20915,20220}"
"38824-geel","{30867-strand,38677-blauw,38677-zwart}"
"38824-rood","{26260,26282,26927,22251}"
"38825","{4107,1904,20008,16800}"
"38826","{90314,7673,5952,163749}"
"38827","{90314,38815,27043,32136}"
"38828","{31705,30287,26085,26803}"
"38829","{32032,38815,31705,26085}"
"38830","{32484,38815,32518,32473}"
"38831","{39156,16849,38815,32481}"
"38832","{90314,20428,21231,16603}"
"38833","{21715,25960,1380,34726}"
"38834","{38815,32032,2630,39383}"
"38835","{38815,27743,31738,22431}"
"38836","{28831,16495,16560,16333}"
"38837","{9284,1642,16560,16333}"
"38838","{38815,45969,31164,4836}"
"38839","{32518,16447,26323,16448}"
"38840","{26781,20155,20158,28618}"
"38841","{30813,30819,26680,30825}"
"38842","{41932,21173,22151,20255}"
"38843","{45963,23779,24729,22429}"
"38844","{32518,4078,27743,4775}"
"38844-cars",{}
"38844-frozen","{43363,29937-schrijven,29937-voorbereidendschrijven,29486}"
"38844-princess",{39526}
"38845","{27141,27508,21858,33009}"
"38846","{23309,23746,22788,26936}"
"38847","{22019-jongens,31232-groen,16862,39902}"
"38848","{31813,40730,26781,40845-jutebloem}"
"38849","{31813,36168,26781,40730}"
"38850","{30928,22227,20337,41745}"
"38851","{2365,30822,27092,27090}"
"38851-shm","{1456,20158,20239,1018}"
"38852","{32032,16893,16945,1380}"
"38853","{39408,30764,38675,27910}"
"38854","{16948,17078,17182,16011}"
"38855","{30822,38815,29289,22887}"
"38856","{31705,16603,17033,16011}"
"38857","{27743,28281,17183,32032}"
"38858","{30928,38815,33568,22320}"
